#{"t_start": 1529867681.2593617, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
29.0,847,1242.582692
24.0,853,1248.661221
17.0,642,1253.224036
28.0,965,1260.130836
30.0,942,1266.849948
19.0,709,1271.897151
15.0,592,1276.100175
7.0,375,1278.740976
19.0,731,1283.928814
20.0,558,1287.89783
29.0,951,1294.710786
28.0,871,1300.945578
36.0,1113,1308.91341
13.0,595,1313.132453
28.0,908,1319.617262
19.0,714,1324.695716
23.0,806,1330.461728
21.0,562,1334.44457
9.0,482,1337.835432
39.0,1230,1346.648512
27.0,990,1353.742736
11.0,517,1357.414859
22.0,525,1361.11824
33.0,1203,1369.771178
17.0,636,1374.27148
24.0,888,1380.615654
9.0,458,1383.850254
21.0,587,1388.022399
14.0,571,1392.069544
21.0,870,1398.346204
22.0,767,1403.81532
28.0,878,1410.081363
23.0,818,1415.909888
30.0,868,1422.11343
14.0,492,1425.582402
30.0,904,1432.061224
18.0,762,1438.045999
35.0,1038,1445.483988
23.0,690,1450.406201
15.0,573,1454.469065
31.0,819,1460.320683
8.0,279,1462.258314
23.0,819,1468.102454
29.0,754,1473.477813
14.0,621,1477.884359
40.0,929,1484.541054
30.0,1010,1491.768029
19.0,735,1497.002743
29.0,981,1504.034465
15.0,690,1509.472328
19.0,654,1514.128891
41.0,919,1520.744422
26.0,937,1527.463622
47.0,1218,1536.21429
34.0,1003,1543.402187
43.0,1215,1552.125234
40.0,733,1557.375594
35.0,962,1564.251045
15.0,647,1568.876353
39.0,991,1576.001832
29.0,805,1582.256567
19.0,774,1587.803803
36.0,921,1594.413631
13.0,622,1598.867053
22.0,709,1603.929892
33.0,1003,1611.136031
47.0,1253,1620.15226
17.0,622,1624.590066
35.0,862,1630.809232
21.0,571,1634.88762
22.0,787,1640.528632
32.0,972,1647.498489
23.0,730,1652.717578
29.0,906,1659.749297
27.0,750,1665.171545
25.0,553,1669.156178
26.0,780,1674.749256
39.0,1028,1682.140376
17.0,683,1687.031328
43.0,1130,1695.156872
22.0,745,1700.563483
20.0,469,1703.889877
10.0,521,1707.59324
10.0,472,1710.968465
19.0,507,1714.54684
25.0,606,1718.875254
39.0,986,1725.953843
50.0,1246,1734.935774
17.0,453,1738.154738
49.0,1228,1746.983454
19.0,848,1753.077612
43.0,1129,1761.187529
20.0,752,1766.574452
33.0,595,1770.824745
25.0,780,1776.418862
29.0,744,1781.778593
36.0,1034,1789.200974
27.0,548,1793.107477
25.0,832,1799.054968
26.0,930,1805.742926
29.0,648,1810.368235
16.0,732,1815.60296
23.0,576,1819.712612
27.0,779,1825.291109
33.0,911,1831.801152
26.0,806,1837.567173
42.0,1109,1845.552083
16.0,710,1850.630548
28.0,818,1856.490303
25.0,809,1862.29591
42.0,1003,1869.468263
11.0,518,1873.171646
32.0,773,1878.703256
42.0,1097,1886.578782
30.0,699,1891.584736
21.0,845,1897.61638
11.0,392,1900.382191
20.0,702,1905.382536
23.0,807,1911.148536
62.0,1275,1920.289772
23.0,785,1925.889645
27.0,849,1931.968168
33.0,944,1938.718619
17.0,715,1943.812721
27.0,815,1949.625609
36.0,878,1955.895224
25.0,865,1962.067512
45.0,1005,1969.239876
43.0,1075,1976.959133
59.0,968,1983.865855
31.0,709,1988.915707
52.0,809,1994.681719
21.0,600,1998.94764
24.0,733,2004.229232
12.0,520,2007.901362
16.0,601,2012.198515
32.0,704,2017.216074
40.0,989,2024.279036
24.0,810,2030.045058
42.0,571,2034.123445
12.0,450,2037.326795
22.0,767,2042.874031
10.0,357,2045.421077
23.0,561,2049.420928
39.0,1175,2057.87463
33.0,888,2064.218805
24.0,619,2068.625339
49.0,1135,2076.782135
41.0,1131,2084.921857
67.0,1492,2095.641325
58.0,1410,2105.782628
34.0,950,2112.593576
37.0,1045,2120.109693
31.0,918,2126.688268
28.0,755,2132.063628
36.0,635,2136.610862
38.0,1072,2144.294066
46.0,1097,2152.169593
28.0,909,2158.70129
27.0,959,2166.108034
54.0,1129,2174.226799
49.0,806,2180.008425
38.0,969,2187.008893
35.0,998,2194.228137
11.0,480,2197.665857
43.0,1072,2205.375199
52.0,1266,2214.485183
27.0,814,2220.313698
33.0,754,2225.689069
64.0,1463,2236.241238
51.0,1115,2244.804321
21.0,648,2249.445247
45.0,1209,2258.180215
14.0,603,2262.524256
28.0,901,2269.010834
35.0,939,2275.745657
51.0,1148,2284.011846
32.0,921,2290.637288
33.0,810,2296.434551
26.0,811,2302.262617
31.0,945,2309.122452
35.0,980,2316.154173
30.0,873,2322.42021
21.0,884,2328.748754
32.0,817,2334.590106
27.0,797,2340.293622
5.0,280,2342.246877
53.0,1096,2350.122395
37.0,783,2355.716531
39.0,998,2362.86819
25.0,673,2367.681022
54.0,1169,2376.072208
45.0,995,2383.197684
45.0,951,2390.010632
37.0,1068,2397.676828
64.0,1410,2407.833759
41.0,1171,2416.256196
44.0,1292,2425.529019
34.0,961,2432.420105
73.0,1318,2441.905125
65.0,1177,2450.358815
56.0,954,2457.770125
22.0,810,2463.567389
19.0,775,2469.114626
52.0,1205,2477.771454
26.0,767,2483.271831
35.0,1013,2490.555666
17.0,713,2495.665394
34.0,829,2501.587673
46.0,1021,2508.91627
70.0,1191,2517.494969
15.0,655,2522.197999
19.0,670,2526.995195
41.0,845,2533.636253
39.0,979,2540.683599
47.0,1246,2549.668576
34.0,732,2554.900254
41.0,1041,2562.385128
31.0,937,2569.104338
28.0,975,2576.120432
70.0,1361,2585.992041
57.0,1091,2593.85184
39.0,1096,2601.71174
53.0,1321,2611.274873
43.0,857,2617.471163
38.0,970,2624.424754
38.0,944,2631.175195
52.0,1180,2639.691391
20.0,572,2643.754162
16.0,636,2648.291292
31.0,791,2653.947919
45.0,989,2661.05776
29.0,773,2666.605016
41.0,1169,2674.996202
34.0,1151,2683.281525
31.0,881,2689.610072
22.0,644,2694.219757
36.0,562,2698.220024
7.0,360,2700.751444
25.0,761,2706.189308
39.0,968,2713.176722
36.0,1031,2720.567841
43.0,1035,2728.021475
60.0,1229,2736.865816
23.0,633,2741.39737
31.0,966,2748.31835
29.0,749,2753.678091
32.0,939,2760.428544
34.0,921,2767.022735
36.0,978,2774.038829
44.0,1148,2782.302058
41.0,1046,2789.833812
56.0,1056,2797.396818
61.0,1449,2807.845581
22.0,523,2811.56457
72.0,1184,2820.080957
42.0,1016,2827.378138
37.0,1090,2835.206777
48.0,1233,2844.075958
68.0,1114,2852.076493
29.0,957,2858.983196
44.0,1110,2867.030618
