#{"t_start": 1529880873.161601, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,143,249.661306
0.0,127,250.098834
5.0,369,251.333303
2.0,198,252.005234
0.0,126,252.442863
2.0,206,253.145924
1.0,174,253.739703
4.0,308,254.786649
0.0,152,255.302309
7.0,489,256.943043
0.0,145,257.443076
0.0,148,257.94311
0.0,131,258.396336
1.0,157,258.943187
4.0,308,259.974496
1.0,209,260.693295
0.0,161,261.240205
9.0,416,262.646553
0.0,152,263.162209
0.0,127,263.599748
1.0,153,264.115398
0.0,157,264.66231
1.0,158,265.193595
1.0,152,265.72489
2.0,202,266.396811
1.0,165,266.959348
1.0,152,267.490623
1.0,158,268.037545
1.0,160,268.584447
1.0,175,269.178246
5.0,358,270.381442
1.0,161,270.943979
0.0,125,271.381508
4.0,305,272.397212
2.0,205,273.102039
2.0,263,273.992734
8.0,417,275.399078
0.0,151,275.914737
5.0,406,277.274203
2.0,256,278.149262
2.0,216,278.883686
1.0,158,279.430597
2.0,210,280.13376
1.0,153,280.665055
0.0,147,281.165079
2.0,199,281.852634
4.0,314,282.915196
1.0,177,283.524613
1.0,151,284.04027
2.0,377,285.321819
7.0,465,286.884211
4.0,335,288.009286
1.0,174,288.603086
2.0,229,289.384378
5.0,365,290.618835
1.0,188,291.259504
3.0,307,292.306449
5.0,415,293.697167
0.0,141,294.181584
0.0,164,294.744112
0.0,123,295.166025
2.0,234,295.962949
6.0,416,297.572426
0.0,151,298.088086
3.0,230,298.869388
6.0,463,300.432003
1.0,187,301.07267
1.0,266,301.963345
5.0,450,303.479071
0.0,135,303.947852
1.0,170,304.526016
3.0,252,305.385449
2.0,200,306.073004
1.0,152,306.588655
2.0,248,307.428991
2.0,369,308.663448
2.0,212,309.382245
0.0,147,309.882289
5.0,377,311.147989
0.0,144,311.648022
4.0,412,313.03875
4.0,309,314.085685
2.0,238,314.882623
1.0,152,315.413909
0.0,125,315.835802
2.0,198,316.507722
6.0,369,317.757805
2.0,197,318.429726
3.0,249,319.273533
6.0,373,320.539252
3.0,250,321.383048
1.0,340,322.523759
4.0,241,323.336303
2.0,309,324.383249
2.0,199,325.055179
4.0,338,326.211496
1.0,223,326.977173
2.0,238,327.774101
2.0,252,328.633534
2.0,250,329.477349
1.0,225,330.243018
4.0,271,331.368091
2.0,202,332.055638
9.0,550,333.915147
3.0,570,335.821525
0.0,144,336.337174
5.0,348,337.509127
6.0,414,338.899845
5.0,308,339.9468
5.0,415,341.337508
7.0,305,342.377397
3.0,276,343.31495
5.0,393,344.627548
3.0,263,345.533849
12.0,475,347.11208
3.0,496,348.784076
6.0,362,350.018523
1.0,152,350.534183
6.0,347,351.706147
2.0,233,352.503064
0.0,283,353.456253
2.0,271,354.378278
4.0,409,355.753282
2.0,181,356.362821
0.0,175,356.956488
0.0,156,357.487784
0.0,247,358.315954
0.0,122,358.753483
0.0,192,359.425406
1.0,168,359.98794
3.0,229,360.816181
3.0,288,361.785035
0.0,132,362.238091
3.0,349,363.42567
3.0,377,364.894531
10.0,937,368.035364
1.0,791,370.691782
0.0,508,372.39503
7.0,531,374.17639
4.0,317,375.254587
1.0,249,376.098393
1.0,250,376.946788
2.0,228,377.712472
1.0,156,378.259373
1.0,210,378.978181
1.0,256,379.837604
1.0,180,380.44702
1.0,272,381.368956
0.0,385,382.665918
2.0,338,383.790993
6.0,402,385.150469
9.0,384,386.431795
3.0,245,387.259976
1.0,285,388.22879
3.0,800,390.900844
3.0,357,392.104051
1.0,171,392.682222
0.0,234,393.463515
4.0,385,394.760477
4.0,317,395.838674
5.0,284,396.791872
0.0,188,397.432531
5.0,429,399.088892
2.0,253,399.948334
0.0,303,400.964027
2.0,379,402.245353
5.0,296,403.261046
9.0,415,404.651773
5.0,346,405.823727
4.0,504,407.526967
2.0,222,408.277006
1.0,516,410.011497
0.0,133,410.464662
1.0,170,411.042879
2.0,182,411.683075
0.0,125,412.104979
5.0,334,413.230064
7.0,473,414.823921
0.0,148,415.33957
4.0,296,416.339637
0.0,128,416.777167
2.0,198,417.449087
1.0,198,418.121007
3.0,297,419.121083
0.0,130,419.574229
0.0,138,420.04301
4.0,320,421.121207
4.0,387,422.433795
0.0,288,423.40261
2.0,271,424.308921
2.0,213,425.043344
15.0,767,427.606026
3.0,244,428.434206
3.0,250,429.293628
1.0,190,429.934306
0.0,189,430.59059
4.0,266,431.481275
5.0,418,433.153263
7.0,561,435.028388
1.0,293,436.012828
4.0,323,437.106651
1.0,306,438.122344
2.0,416,439.528688
4.0,415,440.919405
2.0,228,441.685083
8.0,377,442.950792
6.0,403,444.310258
1.0,208,445.013431
0.0,166,445.575968
0.0,126,446.013497
2.0,199,446.696988
0.0,311,447.743924
6.0,379,449.009634
4.0,295,450.009701
3.0,248,450.83788
1.0,171,451.43167
2.0,223,452.181721
3.0,917,455.228809
0.0,322,456.307006
3.0,334,457.432072
2.0,185,458.07274
1.0,182,458.697791
0.0,197,459.354077
0.0,353,460.541797
0.0,822,463.291839
5.0,535,465.088834
3.0,234,465.885763
1.0,270,466.792073
1.0,462,468.339051
1.0,289,469.307866
3.0,221,470.057997
2.0,181,470.682958
0.0,262,471.558027
5.0,371,472.80811
0.0,144,473.292508
5.0,599,475.292651
3.0,320,476.370848
2.0,303,477.386532
0.0,213,478.120955
1.0,178,478.714746
2.0,249,479.558553
2.0,282,480.51174
3.0,267,481.409108
2.0,209,482.11228
5.0,417,483.502988
0.0,127,483.940527
2.0,235,484.737455
0.0,130,485.174975
3.0,291,486.159416
1.0,180,486.768832
4.0,365,488.003289
1.0,245,488.83147
1.0,270,489.73778
4.0,330,490.847229
3.0,313,491.894175
0.0,137,492.362956
1.0,183,492.987997
2.0,234,493.76931
3.0,233,494.550601
2.0,207,495.253784
6.0,420,496.660128
5.0,372,497.910201
1.0,165,498.472749
4.0,324,499.566562
0.0,126,499.988467
1.0,164,500.551013
0.0,144,501.035411
6.0,567,502.926163
