#{"t_start": 1529962514.1865335, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
18.0,370,1288.266912
0.0,217,1288.970085
1.0,152,1289.673256
4.0,318,1290.704575
4.0,329,1291.782772
0.0,125,1292.204676
0.0,125,1292.626579
0.0,411,1293.939166
4.0,266,1294.829851
9.0,401,1296.142439
0.0,213,1296.845613
0.0,168,1297.392533
5.0,296,1298.361337
2.0,183,1298.955136
0.0,127,1299.37703
4.0,358,1300.533357
9.0,346,1301.658433
1.0,215,1302.361614
1.0,215,1303.064786
11.0,283,1303.971098
3.0,326,1305.018033
2.0,198,1305.65871
1.0,386,1306.908794
1.0,1221,1310.815295
7.0,430,1312.190397
1.0,387,1313.456097
0.0,579,1315.29997
3.0,347,1316.425046
0.0,177,1317.00322
1.0,347,1318.128285
11.0,281,1319.034605
1.0,576,1320.878469
8.0,1896,1326.925749
5.0,558,1328.722743
0.0,274,1329.613429
3.0,353,1330.754129
1.0,254,1331.597935
1.0,210,1332.285492
7.0,1412,1336.832661
2.0,1308,1341.020442
3.0,589,1342.895567
0.0,769,1345.364492
2.0,299,1346.317681
4.0,576,1348.161544
1.0,1045,1351.536769
5.0,546,1353.302611
9.0,757,1355.740176
3.0,588,1357.615302
0.0,304,1358.599742
0.0,213,1359.287298
5.0,685,1361.49056
0.0,296,1362.459376
2.0,179,1363.053165
3.0,212,1363.740711
2.0,232,1364.522014
4.0,722,1366.834678
9.0,2267,1374.053902
6.0,313,1375.08522
2.0,266,1375.960279
1.0,428,1377.366633
1.0,245,1378.16355
2.0,1137,1381.866924
5.0,513,1383.570162
2.0,1004,1387.086023
1.0,526,1388.820513
5.0,519,1390.523753
2.0,2615,1398.930566
0.0,124,1399.336842
4.0,328,1400.399423
2.0,417,1401.774508
2.0,217,1402.477688
2.0,256,1403.305857
2.0,323,1404.352829
5.0,350,1405.477888
0.0,281,1406.399815
1.0,153,1406.899858
3.0,745,1409.290642
10.0,855,1412.025192
1.0,1379,1416.447362
0.0,222,1417.181786
2.0,254,1417.994351
2.0,643,1420.056979
0.0,148,1420.541386
8.0,1364,1424.932304
0.0,151,1425.416712
6.0,518,1427.088742
5.0,347,1428.213889
1.0,261,1429.057582
4.0,348,1430.198281
2.0,219,1430.91708
1.0,208,1431.604635
6.0,717,1433.91728
4.0,296,1434.870469
6.0,377,1436.089301
7.0,394,1437.355011
0.0,298,1438.323825
3.0,235,1439.073885
3.0,231,1439.823925
2.0,203,1440.48023
1.0,172,1441.058383
6.0,881,1443.886707
0.0,699,1446.136847
1.0,445,1447.558818
2.0,308,1448.574521
2.0,655,1450.668401
1.0,156,1451.18406
2.0,383,1452.434144
5.0,561,1454.23114
1.0,1470,1458.93458
0.0,902,1461.825397
1.0,469,1463.341134
1.0,722,1465.653778
7.0,372,1466.856994
4.0,520,1468.544596
1.0,1272,1472.638621
1.0,361,1473.810584
3.0,233,1474.57625
1.0,737,1476.951419
2.0,674,1479.123429
2.0,1141,1482.79556
2.0,762,1485.264466
5.0,1361,1489.608506
7.0,894,1492.483698
7.0,491,1494.077565
0.0,672,1496.233958
0.0,497,1497.827805
0.0,178,1498.421595
7.0,269,1499.281028
0.0,965,1502.374985
4.0,388,1503.640704
0.0,279,1504.547015
2.0,550,1506.312758
6.0,472,1507.828484
7.0,254,1508.656654
3.0,336,1509.734852
2.0,463,1511.219327
3.0,314,1512.250656
0.0,202,1512.90694
4.0,316,1513.953884
5.0,354,1515.110212
0.0,432,1516.532182
7.0,394,1517.813517
5.0,486,1519.391748
8.0,371,1520.579328
1.0,152,1521.094987
2.0,1280,1525.235889
7.0,416,1526.579728
1.0,174,1527.142267
2.0,199,1527.798585
2.0,274,1528.689258
0.0,125,1529.095532
